,img_url,,,,,,,,,
36,ross-jonathan-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/ross-jonathan-medium.jpg,"
37


Jonathan","Ross,","62

TV",Show,"Host

",,
37,elway-john-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/elway-john-medium.jpg,"
38


John","Elway,","62

Football","Player

",,,
38,ashby-linden-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/ashby-linden-medium.jpg,"
39


Linden","Ashby,","62

Movie","Actor

",,,
39,branagh-kenneth-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/branagh-kenneth-medium.jpg,"
40


Kenneth","Branagh,","62

Director

",,,,
40,grant-amy-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/grant-amy-medium.jpg,"
41


Amy","Grant,","62

Rock","Singer

",,,
41,roberts-robinrene-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/roberts-robinrene-medium.jpg,"
42


Robin","Roberts,","62

TV",Show,"Host

",,
42,clery-thomas-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/clery-thomas-medium.jpg,"
43


Morpheus","ASMR,","62

YouTube","Star

",,,
43,background: url(https://www.famousbirthdays.com/faces/large-default.jpg,1960,https://www.famousbirthdays.com/thumbnails/background: url(https://www.famousbirthdays.com/faces/large-default.jpg,"
44


Jonathan",Larson,"(1960-1996)

Playwright

",,,,
44,beghe-jason-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/beghe-jason-medium.jpg,"
45


Jason","Beghe,","62

TV","Actor

",,,
45,baio-scott-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/baio-scott-medium.jpg,"
46


Scott","Baio,","62

TV","Actor

",,,
46,duchovny-david-medium.jpg,1960,https://www.famousbirthdays.com/thumbnails/duchovny-david-medium.jpg,"
47


David","Duchovny,","62

TV","Actor

",,,
47,background: url(https://www.famousbirthdays.com/faces/large-default.jpg,1960,https://www.famousbirthdays.com/thumbnails/background: url(https://www.famousbirthdays.com/faces/large-default.jpg,"
48


Kazembe",Ajamu,"Coleman,","62

Family","Member

",,
51,murphy-eddie-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/murphy-eddie-medium.jpg,"
1


Barack","Obama,","61

US","President

",,,
52,clooney-george-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/clooney-george-medium.jpg,"
2


Princess",Diana,"(1961-1997)

Princess

",,,,
53,cyrus-billy-medium.jpg,1961,https://www.famousbirthdays.com/thumbnails/cyrus-billy-medium.jpg,"
3


Ralph","Macchio,","61

Movie","Actor

",,,
