index1,img_url,index2,name,blank,,
46,background: url(https://www.famousbirthdays.com/thumbnails/duchovny-david-medium.jpg) no-repeat center center; background-size:cover;,46,duchovny-david-,,46,"
47


David Duchovny, 62

TV Actor

"
47,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,47,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,,47,"
48


Kazembe Ajamu Coleman, 62

Family Member

"
48,background: url(https://www.famousbirthdays.com/thumbnails/obama-barack-medium.jpg) no-repeat center center; background-size:cover;,48,obama-barack-,,48,1960 Shows
49,background: url(https://www.famousbirthdays.com/thumbnails/diana-princess-medium.jpg) no-repeat center center; background-size:cover;,49,diana-princess-,,49,1960s Shows
50,background: url(https://www.famousbirthdays.com/thumbnails/macchio-ralph-medium.jpg) no-repeat center center; background-size:cover;,50,macchio-ralph-,,50,Died in 1960
51,background: url(https://www.famousbirthdays.com/thumbnails/murphy-eddie-medium.jpg) no-repeat center center; background-size:cover;,51,murphy-eddie-,,51,"
1


Barack Obama, 61

US President

"
52,background: url(https://www.famousbirthdays.com/thumbnails/clooney-george-medium.jpg) no-repeat center center; background-size:cover;,52,clooney-george-,,52,"
2


Princess Diana (1961-1997)

Princess

"
53,background: url(https://www.famousbirthdays.com/thumbnails/cyrus-billy-medium.jpg) no-repeat center center; background-size:cover;,53,cyrus-billy-,,53,"
3


Ralph Macchio, 61

Movie Actor

"
54,background: url(https://www.famousbirthdays.com/thumbnails/coolidge-jennifer-medium.jpg) no-repeat center center; background-size:cover;,54,coolidge-jennifer-,,54,"
4


Eddie Murphy, 61

Movie Actor

"
55,background: url(https://www.famousbirthdays.com/thumbnails/lopez-george-medium.jpg) no-repeat center center; background-size:cover;,55,lopez-george-,,55,"
5


George Clooney, 61

Movie Actor

"
56,background: url(https://www.famousbirthdays.com/thumbnails/baskin-carole-medium.jpg) no-repeat center center; background-size:cover;,56,baskin-carole-,,56,"
6


Billy Ray Cyrus, 61

Country Singer

"
57,background: url(https://www.famousbirthdays.com/thumbnails/fox-michael-movieactor-medium.jpg) no-repeat center center; background-size:cover;,57,fox-michael-movieactor-,,57,"
7


Jennifer Coolidge, 61

Movie Actress

"
58,background: url(https://www.famousbirthdays.com/thumbnails/george-boy-medium.jpg) no-repeat center center; background-size:cover;,58,george-boy-,,58,"
8


George Lopez, 61

Comedian

"
59,background: url(https://www.famousbirthdays.com/thumbnails/rodman-dennis-medium.jpg) no-repeat center center; background-size:cover;,59,rodman-dennis-,,59,"
9


Carole Baskin, 61


Activist

"
60,background: url(https://www.famousbirthdays.com/thumbnails/gretzky-wayne-medium.jpg) no-repeat center center; background-size:cover;,60,gretzky-wayne-,,60,"
10


Michael J. Fox, 61

Movie Actor

"
61,background: url(https://www.famousbirthdays.com/thumbnails/hillenburg-stephen-medium.jpg) no-repeat center center; background-size:cover;,61,hillenburg-stephen-,,61,"
11


Boy George, 61

Pop Singer

"
62,background: url(https://www.famousbirthdays.com/thumbnails/swift-phil-medium.jpg) no-repeat center center; background-size:cover;,62,swift-phil-,,62,"
12


Dennis Rodman, 61

Basketball Player

"
63,background: url(https://www.famousbirthdays.com/thumbnails/derbez-eugenio-medium.jpg) no-repeat center center; background-size:cover;,63,derbez-eugenio-,,63,"
13


Wayne Gretzky, 61

Hockey Player

"
64,background: url(https://www.famousbirthdays.com/thumbnails/boyle-susan-medium.jpg) no-repeat center center; background-size:cover;,64,boyle-susan-,,64,"
14


Stephen Hillenburg (1961-2018)

Director

"
65,background: url(https://www.famousbirthdays.com/thumbnails/harrelson-woody-medium.jpg) no-repeat center center; background-size:cover;,65,harrelson-woody-,,65,"
15


Phil Swift, 61

YouTube Star

"
66,background: url(https://www.famousbirthdays.com/thumbnails/jackson-singer-randy-medium.jpg) no-repeat center center; background-size:cover;,66,jackson-singer-randy-,,66,"
16


Eugenio Derbez, 61

TV Actor

"
67,background: url(https://www.famousbirthdays.com/thumbnails/gervais-ricky-medium.jpg) no-repeat center center; background-size:cover;,67,gervais-ricky-,,67,"
17


Susan Boyle, 61

Pop Singer

"
68,background: url(https://www.famousbirthdays.com/thumbnails/comaneci-nadia-medium.jpg) no-repeat center center; background-size:cover;,68,comaneci-nadia-,,68,"
18


Woody Harrelson, 61

TV Actor

"
69,background: url(https://www.famousbirthdays.com/thumbnails/widodo-joko-medium.jpg) no-repeat center center; background-size:cover;,69,widodo-joko-,,69,"
19


Randy Jackson, 61

Pop Singer

"
70,background: url(https://www.famousbirthdays.com/thumbnails/mustaine-dave-medium.jpg) no-repeat center center; background-size:cover;,70,mustaine-dave-,,70,"
20


Ricky Gervais, 61

Comedian

"
71,background: url(https://www.famousbirthdays.com/thumbnails/probst-jeff-medium.jpg) no-repeat center center; background-size:cover;,71,probst-jeff-,,71,"
21


Nadia Comaneci, 61

Gymnast

"
72,background: url(https://www.famousbirthdays.com/thumbnails/ryan-meg-medium.jpg) no-repeat center center; background-size:cover;,72,ryan-meg-,,72,"
22


Joko Widodo, 61

Politician

"
73,background: url(https://www.famousbirthdays.com/thumbnails/neil-vince-medium.jpg) no-repeat center center; background-size:cover;,73,neil-vince-,,73,"
23


Dave Mustaine, 61

Metal Singer

"
74,background: url(https://www.famousbirthdays.com/thumbnails/lawton-larry-medium.jpg) no-repeat center center; background-size:cover;,74,lawton-larry-,,74,"
24


Jeff Probst, 61

Game Show Host

"
75,background: url(https://www.famousbirthdays.com/thumbnails/keith-toby-medium.jpg) no-repeat center center; background-size:cover;,75,keith-toby-,,75,"
25


Meg Ryan, 61

Movie Actress

"
76,background: url(https://www.famousbirthdays.com/thumbnails/dreyfus-julia-medium.jpg) no-repeat center center; background-size:cover;,76,dreyfus-julia-,,76,"
26


Vince Neil, 61

Metal Singer

"
77,background: url(https://www.famousbirthdays.com/thumbnails/benson-jodi-medium.jpg) no-repeat center center; background-size:cover;,77,benson-jodi-,,77,"
27


Larry Lawton, 61

YouTube Star

"
78,background: url(https://www.famousbirthdays.com/thumbnails/carlyle-robert-medium.jpg) no-repeat center center; background-size:cover;,78,carlyle-robert-,,78,"
28


Toby Keith, 61

Country Singer

"
79,background: url(https://www.famousbirthdays.com/thumbnails/enya-medium.jpg) no-repeat center center; background-size:cover;,79,enya-,,79,"
29


Julia Louis-Dreyfus, 62

TV Actress

"
80,background: url(https://www.famousbirthdays.com/thumbnails/thomas-isiah-medium.jpg) no-repeat center center; background-size:cover;,80,thomas-isiah-,,80,"
30


Jodi Benson, 61

Voice Actress

"
81,background: url(https://www.famousbirthdays.com/thumbnails/ford-tom-medium.jpg) no-repeat center center; background-size:cover;,81,ford-tom-,,81,"
31


Robert Carlyle, 61

Movie Actor

"
82,background: url(https://www.famousbirthdays.com/thumbnails/amato-bruno-medium.jpg) no-repeat center center; background-size:cover;,82,amato-bruno-,,82,"
32


Enya, 61

World Music Singer

"
83,background: url(https://www.famousbirthdays.com/thumbnails/sweat-keith-medium.jpg) no-repeat center center; background-size:cover;,83,sweat-keith-,,83,"
33


Isiah Thomas, 61

Basketball Player

"
84,background: url(https://www.famousbirthdays.com/thumbnails/diab-amr-medium.jpg) no-repeat center center; background-size:cover;,84,diab-amr-,,84,"
34


Tom Ford, 61

Fashion Designer

"
85,background: url(https://www.famousbirthdays.com/thumbnails/chung-jackie-medium.jpg) no-repeat center center; background-size:cover;,85,chung-jackie-,,85,"
35


Bruno Amato, 61

Movie Actor

"
86,background: url(https://www.famousbirthdays.com/thumbnails/thompson-lea-medium.jpg) no-repeat center center; background-size:cover;,86,thompson-lea-,,86,"
36


Keith Sweat, 61

R&B Singer

"
87,background: url(https://www.famousbirthdays.com/thumbnails/tom-lauren-medium.jpg) no-repeat center center; background-size:cover;,87,tom-lauren-,,87,"
37


Amr Diab, 61

World Music Singer

"
88,background: url(https://www.famousbirthdays.com/thumbnails/vives-carlos-medium.jpg) no-repeat center center; background-size:cover;,88,vives-carlos-,,88,"
38


Jackie Chung, 61

TV Actress

"
89,background: url(https://www.famousbirthdays.com/thumbnails/whitaker-forest-medium.jpg) no-repeat center center; background-size:cover;,89,whitaker-forest-,,89,"
39


Lea Thompson, 61

Movie Actress

"
90,background: url(https://www.famousbirthdays.com/thumbnails/gandolfini-james-medium.jpg) no-repeat center center; background-size:cover;,90,gandolfini-james-,,90,"
40


Lauren Tom, 61

Voice Actress

"
91,background: url(https://www.famousbirthdays.com/thumbnails/meloni-christopher-medium.jpg) no-repeat center center; background-size:cover;,91,meloni-christopher-,,91,"
41


Carlos Vives, 61

Pop Singer

"
92,background: url(https://www.famousbirthdays.com/thumbnails/marino-dan-medium.jpg) no-repeat center center; background-size:cover;,92,marino-dan-,,92,"
42


Forest Whitaker, 61

Movie Actor

"
93,background: url(https://www.famousbirthdays.com/thumbnails/wheeler-maggie-medium.jpg) no-repeat center center; background-size:cover;,93,wheeler-maggie-,,93,"
43


James Gandolfini (1961-2013)

TV Actor

"
94,background: url(https://www.famousbirthdays.com/thumbnails/owens-rick-medium.jpg) no-repeat center center; background-size:cover;,94,owens-rick-,,94,"
44


Christopher Meloni, 61

TV Actor

"
95,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,95,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,,95,"
45


Dan Marino, 61

Football Player

"
96,background: url(https://www.famousbirthdays.com/thumbnails/cruise-t-medium.jpg) no-repeat center center; background-size:cover;,96,cruise-t-,,96,"
46


Maggie Wheeler, 61

TV Actress

"
97,background: url(https://www.famousbirthdays.com/thumbnails/carrey-jim-medium.jpg) no-repeat center center; background-size:cover;,97,carrey-jim-,,97,"
47


Rick Owens, 61

Fashion Designer

"
98,background: url(https://www.famousbirthdays.com/thumbnails/jovi-jon-medium.jpg) no-repeat center center; background-size:cover;,98,jovi-jon-,,98,"
48


Sheikh Mohammed bin Zayed Al Nahyan, 61

Prince

"
99,background: url(https://www.famousbirthdays.com/thumbnails/carell-steve-medium.jpg) no-repeat center center; background-size:cover;,99,carell-steve-,,99,1961 Movies
100,background: url(https://www.famousbirthdays.com/thumbnails/irwin-steve-medium.jpg) no-repeat center center; background-size:cover;,100,irwin-steve-,,100,1960s Shows
101,background: url(https://www.famousbirthdays.com/thumbnails/kenny-tom-medium.jpg) no-repeat center center; background-size:cover;,101,kenny-tom-,,101,Died in 1961
102,background: url(https://www.famousbirthdays.com/thumbnails/lee-tommy-medium.jpg) no-repeat center center; background-size:cover;,102,lee-tommy-,,102,"
1


Tom Cruise, 60

Movie Actor

"
103,background: url(https://www.famousbirthdays.com/thumbnails/rose-axl-medium.jpg) no-repeat center center; background-size:cover;,103,rose-axl-,,103,"
2


Jim Carrey, 60

Movie Actor

"
104,background: url(https://www.famousbirthdays.com/thumbnails/spade-kate-medium.jpg) no-repeat center center; background-size:cover;,104,spade-kate-,,104,"
3


Jon Bon Jovi, 60

Rock Singer

"
105,background: url(https://www.famousbirthdays.com/thumbnails/moore-demi-medium.jpg) no-repeat center center; background-size:cover;,105,moore-demi-,,105,"
4


Steve Carell, 60

TV Actor

"
106,background: url(https://www.famousbirthdays.com/thumbnails/hammett-kirk-medium.jpg) no-repeat center center; background-size:cover;,106,hammett-kirk-,,106,"
5


Steve Irwin (1962-2006)

Reality Star

"
107,background: url(https://www.famousbirthdays.com/thumbnails/fiennes-ralph-medium.jpg) no-repeat center center; background-size:cover;,107,fiennes-ralph-,,107,"
6


Tom Kenny, 60

Voice Actor

"
108,background: url(https://www.famousbirthdays.com/thumbnails/odenkirk-bob-tvactor-medium.jpg) no-repeat center center; background-size:cover;,108,odenkirk-bob-tvactor-,,108,"
7


Tommy Lee, 60

Drummer

"
109,background: url(https://www.famousbirthdays.com/thumbnails/gibson-thomas-medium.jpg) no-repeat center center; background-size:cover;,109,gibson-thomas-,,109,"
8


Axl Rose, 60

Rock Singer

"
110,background: url(https://www.famousbirthdays.com/thumbnails/brooks-garth-medium.jpg) no-repeat center center; background-size:cover;,110,brooks-garth-,,110,"
9


Kate Spade (1962-2018)

Fashion Designer

"
111,background: url(https://www.famousbirthdays.com/thumbnails/abdul-paula-medium.jpg) no-repeat center center; background-size:cover;,111,abdul-paula-,,111,"
10


Demi Moore, 60

Movie Actress

"
112,background: url(https://www.famousbirthdays.com/thumbnails/hammer-mc-medium.jpg) no-repeat center center; background-size:cover;,112,hammer-mc-,,112,"
11


Kirk Hammett, 60

Guitarist

"
113,background: url(https://www.famousbirthdays.com/thumbnails/dunham-jeff-medium.jpg) no-repeat center center; background-size:cover;,113,dunham-jeff-,,113,"
12


Ralph Fiennes, 60

Movie Actor

"
114,background: url(https://www.famousbirthdays.com/thumbnails/yeoh-michelle-medium.jpg) no-repeat center center; background-size:cover;,114,yeoh-michelle-,,114,"
13


Bob Odenkirk, 60

TV Actor

"
115,background: url(https://www.famousbirthdays.com/thumbnails/bol-manute-medium.jpg) no-repeat center center; background-size:cover;,115,bol-manute-,,115,"
14


Thomas Gibson, 60

TV Actor

"
116,background: url(https://www.famousbirthdays.com/thumbnails/rice-jerry-medium.jpg) no-repeat center center; background-size:cover;,116,rice-jerry-,,116,"
15


Garth Brooks, 60

Country Singer

"
117,background: url(https://www.famousbirthdays.com/thumbnails/schofield-phillip-medium.jpg) no-repeat center center; background-size:cover;,117,schofield-phillip-,,117,"
16


Paula Abdul, 60

Pop Singer

"
118,background: url(https://www.famousbirthdays.com/thumbnails/foster-jodie-medium.jpg) no-repeat center center; background-size:cover;,118,foster-jodie-,,118,"
17


MC Hammer, 60

Rapper

"
119,background: url(https://www.famousbirthdays.com/thumbnails/kramer-eric-medium.jpg) no-repeat center center; background-size:cover;,119,kramer-eric-,,119,"
18


Jeff Dunham, 60

Ventriloquist

"
120,background: url(https://www.famousbirthdays.com/thumbnails/jackson-bo-medium.jpg) no-repeat center center; background-size:cover;,120,jackson-bo-,,120,"
19


Michelle Yeoh, 60

Movie Actress

"
121,background: url(https://www.famousbirthdays.com/thumbnails/estevez-emilio-medium.jpg) no-repeat center center; background-size:cover;,121,estevez-emilio-,,121,"
20


Manute Bol (1962-2010)

Basketball Player

"
122,background: url(https://www.famousbirthdays.com/thumbnails/burton-cliff-medium.jpg) no-repeat center center; background-size:cover;,122,burton-cliff-,,122,"
21


Jerry Rice, 60

Football Player

"
123,background: url(https://www.famousbirthdays.com/thumbnails/preston-kelly-medium.jpg) no-repeat center center; background-size:cover;,123,preston-kelly-,,123,"
22


Phillip Schofield, 60

TV Show Host

"
124,background: url(https://www.famousbirthdays.com/thumbnails/mccarthy-andrew-medium.jpg) no-repeat center center; background-size:cover;,124,mccarthy-andrew-,,124,"
23


Jodie Foster, 60

Movie Actress

"
125,background: url(https://www.famousbirthdays.com/thumbnails/broderick-matthew-medium.jpg) no-repeat center center; background-size:cover;,125,broderick-matthew-,,125,"
24


Eric Allan Kramer, 60

TV Actor

"
126,background: url(https://www.famousbirthdays.com/thumbnails/flea-medium.jpg) no-repeat center center; background-size:cover;,126,flea-,,126,"
25


Bo Jackson, 60

Baseball Player

"
127,background: url(https://www.famousbirthdays.com/thumbnails/peterson-jordan-medium.jpg) no-repeat center center; background-size:cover;,127,peterson-jordan-,,127,"
26


Emilio Estevez, 60

Movie Actor

"
128,background: url(https://www.famousbirthdays.com/thumbnails/newell-gabe-medium.jpg) no-repeat center center; background-size:cover;,128,newell-gabe-,,128,"
27


Cliff Burton (1962-1986)

Bassist

"
129,background: url(https://www.famousbirthdays.com/thumbnails/brown-alton-medium.jpg) no-repeat center center; background-size:cover;,129,brown-alton-,,129,"
28


Kelly Preston (1962-2020)

Movie Actress

"
130,background: url(https://www.famousbirthdays.com/thumbnails/snipes-wesley-medium.jpg) no-repeat center center; background-size:cover;,130,snipes-wesley-,,130,"
29


Andrew McCarthy, 60

Movie Actor

"
131,background: url(https://www.famousbirthdays.com/thumbnails/kiedis-anthony-medium.jpg) no-repeat center center; background-size:cover;,131,kiedis-anthony-,,131,"
30


Matthew Broderick, 60

Movie Actor

"
132,background: url(https://www.famousbirthdays.com/thumbnails/odonnell-r-medium.jpg) no-repeat center center; background-size:cover;,132,odonnell-r-,,132,"
31


Flea, 60

Bassist

"
133,background: url(https://www.famousbirthdays.com/thumbnails/crow-sheryl-medium.jpg) no-repeat center center; background-size:cover;,133,crow-sheryl-,,133,"
32


Jordan Peterson, 60

Psychologist

"
134,background: url(https://www.famousbirthdays.com/thumbnails/luhrmann-baz-medium.jpg) no-repeat center center; background-size:cover;,134,luhrmann-baz-,,134,"
33


Gabe Newell, 60

Entrepreneur

"
135,background: url(https://www.famousbirthdays.com/thumbnails/stradlin-izzy-medium.jpg) no-repeat center center; background-size:cover;,135,stradlin-izzy-,,135,"
34


Alton Brown, 60

Chef

"
136,background: url(https://www.famousbirthdays.com/thumbnails/adkins-trace-medium.jpg) no-repeat center center; background-size:cover;,136,adkins-trace-,,136,"
35


Wesley Snipes, 60

Movie Actor

"
137,background: url(https://www.famousbirthdays.com/thumbnails/cusack-joan-medium.jpg) no-repeat center center; background-size:cover;,137,cusack-joan-,,137,"
36


Anthony Kiedis, 60

Rock Singer

"
138,background: url(https://www.famousbirthdays.com/thumbnails/steele-peter-medium.jpg) no-repeat center center; background-size:cover;,138,steele-peter-,,138,"
37


Rosie O'Donnell, 60

TV Show Host

"
139,background: url(https://www.famousbirthdays.com/thumbnails/collins-suzanne-medium.jpg) no-repeat center center; background-size:cover;,139,collins-suzanne-,,139,"
38


Sheryl Crow, 60

Pop Singer

"
140,background: url(https://www.famousbirthdays.com/thumbnails/gullit-ruud-medium.jpg) no-repeat center center; background-size:cover;,140,gullit-ruud-,,140,"
39


Baz Luhrmann, 60

Director

"
141,background: url(https://www.famousbirthdays.com/thumbnails/griffith-thomas-medium.jpg) no-repeat center center; background-size:cover;,141,griffith-thomas-,,141,"
40


Izzy Stradlin, 60

Guitarist

"
142,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,142,background: url(https://www.famousbirthdays.com/faces/large-default.jpg) no-repeat center center; background-size:cover;,,142,"
41


Trace Adkins, 61

Country Singer

"
143,background: url(https://www.famousbirthdays.com/thumbnails/knievel-robbie-medium.jpg) no-repeat center center; background-size:cover;,143,knievel-robbie-,,143,"
42


Joan Cusack, 60

Movie Actress

"
144,background: url(https://www.famousbirthdays.com/thumbnails/jordan-michael-medium.jpg) no-repeat center center; background-size:cover;,144,jordan-michael-,,144,"
43


Peter Steele (1962-2010)

Metal Singer

"
145,background: url(https://www.famousbirthdays.com/thumbnails/depp-johnny-medium.jpg) no-repeat center center; background-size:cover;,145,depp-johnny-,,145,"
44


Suzanne Collins, 60

Young Adult Author

"
